Hindi,English
Namaste,Hello
Dhanyavaad,Thank You
Maaf kijiye,Excuse Me
Haan,Yes
Nahin,No
Kripaya,Please
Mujhe,Me
Tumhara,Yours
Mera,My
Hum,We
Tum,You
Ve,They
Yeh,This
Vah,That
Yahan,Here
Vahan,There
Kaun,Who
Kya,What
Kahaan,Where
Kab,When
Kaise,How
Kyon,Why
Kyunki,Because
Sab,All
Adhik,More
Kuch,Some
Bahut,Very
Chota,Small
Bada,Big
Lamba,Long
Thanda,Cold
Garm,Hot
Purana,Old
Naya,New
Achha,Good
Bura,Bad
Khula,Open
Band,Closed
Upar,Up
Niche,Down
Dayen,Right
Bayen,Left
Khana,Food
Paani,Water
Chai,Tea
Doodh,Milk
Dost,Friend
Pustak,Book
Ghar,Home
Car,Car
Din,Day
Raat,Night
Bazaar,Market
Paisa,Money
Baitho,Sit
Khaṛe ho jao,Stand_up
Chalo,Let's_go
Aana,Come
Jaana,Go
Daudna,Run
Bolo,Speak
Suno,Listen
Hasna,Laugh
Rona,Cry
Kharidna,Buy
Bechna,Sell
Khojna,Search
Likhna,Write
Padhna,Read
Seekhna,Learn
Samajhna,Understand
Jeetna,Win
Haarna,Lose
Shuru,Start
Khatm,End
Aaj,Today
Kal,Tomorrow
Ab,Now
Phir,Again
Kabhi,Sometimes
Hamesha,Always
Vyast,Busy
Swadisht,Delicious
Pyaas,Thirst
Bhookh,Hunger
Khush,Happy
Dukhi,Sad
Shant,Quiet
Shor,Noise
Pyaar,Love
Nafrat,Hate
Khel,Game
Kaam,Work
Vidyalaya,School
Saath,With
Bina,Without
Aadmi,Man
Aurat,Woman
Baccha,Child
Sapna,Dream
